Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,MeanPIBs
Monde                                         ,WLD,65954609386360.8,73280409172752,74890505221130.1,76993005712049.1,79090920159063.1,74781876418353.7,75871741684505.4,74409009679173.5
Revenu élevé                                  ,HIC,45206874004270.8,48779729165555.1,48815115035416.8,49345569978523.8,50402219381441.3,47600683351151.3,48580898467769.5,48390155626304.1
Pays membres de l'OCDE                        ,OED,44606302354617,47923423549077,47828571256989.7,48405212294686.8,49412694349401.2,46678408030419.9,47571945698921.7,47489508219159
de Post-dividende démographique               ,PST,42413555466432,45525572705267.1,45453812012807.3,45848574370221.7,46777587763485.8,44262154239570.4,45232914472513.5,45073453004328.3
BIRD et IDA                                   ,IBT,21425535721688.4,25268429925490.9,26831457352910.6,28443604978216.4,29484933325853,27878413214157.4,27976204173099,26758368384488
Revenu faible et intermédiaire                ,LMY,20751265552013.6,24508914625396.4,26088297032565.9,27664345146610.6,28707229775177,27199893495022.3,27302774632436,26031817179888.8
Revenu intermédiaire                          ,MIC,20458626620794,24178931124382.2,25733319494137.4,27278174317745.1,28292771914636.5,26796050787924.2,26896968290162,25662120364254.5
BIRD seulement                                ,IBD,19973945540448.7,23619352272048.5,25054597172918.9,26510181016987.1,27396611247619.6,25854305463828.1,25981476556760.5,24912924181515.9
Europe et Asie centrale                       ,ECS,20924746938833.9,23182685731082.8,22340772925087.8,23349111977726.9,23654711849397.5,20365398956498,20278082039222.3,22013644345407
Asie de l’Est et Pacifique                    ,EAS,16938756587419.1,19639161373786.6,21019132105911.6,21262545234002.7,21901716692930.9,21778819690103.4,22489968123893.1,20718585686863.9
"Revenu intermédiaire, tranche supérieure      ",UMC,15792230570440.2,18897054524211,20194427120059.1,21498865852640,22212201918323.9,20772440074303.6,20623856301266.3,19998725194463.4
Amérique du Nord                              ,NAC,16583580836811.1,17312124677047.8,17985081294447.6,18539718715830.2,19232659728993,19686255793552.8,20166305457752,18500818072062.1
de dividende tardif démographique             ,LTE,13513801290291.8,16480103851508.6,17632223620595.4,19013639169998.3,19698706986160.5,18459708958211.3,18460278223929.1,17608351728670.7
Union européenne                              ,EUU,16992731157960.8,18352575945225,17290202230513.3,18026765029423.7,18632310933193.8,16411316886280.5,16491323140209.5,17456746474686.7
États-Unis                                    ,USA,14964372000000,15517926000000,16155255000000,16691517000000,17427609000000,18120714000000,18624475000000,16785981142857.1
Zone euro                                     ,EMU,12645252803876.3,13623289142287.8,12639517467544.6,13190723018832.9,13476353552094.4,11662509275978.5,11935082324134.7,12738961083535.6
Asie de l’Est et Pacifique (hors revenu élevé),EAP,7879326684925.7,9631186869335.1,10744168691109.2,11860783587103,12754057710794.4,13268242307662.1,13512337831001.6,11378586240275.9
Asie de l’Est et Pacifique (BIRD et IDA)      ,TEA,7864008890290.7,9612569408675.6,10723388033068.1,11837903738760.8,12729502234335.3,13242748064718.2,13486394821836.6,11356645027383.6
de dividende précoce démographique            ,EAR,8514344430241.2,9565420059641.2,9974408126763.8,10160720420609.6,10529870016275.8,10194968540647.9,10401883574848.2,9905945024146.8
Chine                                         ,CHN,6100620488867.5,7572553836875.3,8560547314679.3,9607224481532.7,10482372109961.9,11064666282625.5,11199145157649.2,9226732810313.1
Amérique latine et Caraïbes                   ,LCN,5334533033072.8,6064277798886,6121691861723.8,6272303056924.4,6388905289727.1,5473910454068.1,5319553710283.6,5853596457812.3
"Revenu intermédiaire, tranche inférieure      ",LMC,4666986324866,5279429145928.5,5535327445130.8,5774458157744.9,6076543198047.1,6017050154953.5,6263273940740.8,5659009766773.1
Amérique latine et Caraïbes (BIRD et IDA)     ,TLA,5142114727040.2,5863590521693.2,5912820697142.4,6058596339699.1,6171392349446,5247799483621.6,5094164385266.6,5641496929129.9
Amérique latine et Caraïbes (hors revenu élevé,LAC,4923605261317.6,5605037810076.2,5639934948104.6,5771411525043,5905518272856.9,5012592560057.5,4853042525000.3,5387306128922.3
Japon                                         ,JPN,5700098114744.4,6157459594823.7,6203213121334.1,5155717056270.8,4850413536037.8,4394977752877.8,4949273341993.9,5344450359726.1
Europe et Asie centrale (BIRD et IDA)         ,TEC,3635513302315.7,4420592112570.7,4611295207484.8,4893444280674.7,4623921511711.8,3598463764358.5,3463188309734.5,4178059784121.5
Europe et Asie centrale (hors revenu élevé)   ,ECA,3156255418573.9,3891866999524.9,4111011203800.4,4369243129067.5,4078845602865.8,3121184116603.8,2991823901020.5,3674318624493.8
Allemagne                                     ,DEU,3417094562649,3757698281117.5,3543983909148,3752513503278.4,3890606893346.7,3375611100742.2,3477796274496.8,3602186360682.7
Afrique du Nord et Moyen-Orient               ,MEA,2767984243178.1,3282392899960.5,3529758430134.8,3524023587337.8,3563559183199.1,3147279271333.8,3144797691272.9,3279970758059.6
