"COUNTRY","Country","SERIES","Series","PERIOD","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRL","Ireland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2000","2000","USD","US Dollar","0","Units",,,15464.083,,
"IRL","Ireland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2001","2001","USD","US Dollar","0","Units",,,15252.019,,
"IRL","Ireland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2002","2002","USD","US Dollar","0","Units",,,15307.836,,
"IRL","Ireland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2003","2003","USD","US Dollar","0","Units",,,15472.534,,
"IRL","Ireland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2004","2004","USD","US Dollar","0","Units",,,16572.697,,
"IRL","Ireland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2005","2005","USD","US Dollar","0","Units",,,17298.639,,
"IRL","Ireland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2006","2006","USD","US Dollar","0","Units",,,17132.443,,
"IRL","Ireland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2007","2007","USD","US Dollar","0","Units",,,18100.918,,
"IRL","Ireland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2008","2008","USD","US Dollar","0","Units",,,17747.406,,
"IRL","Ireland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2009","2009","USD","US Dollar","0","Units",,,18580.139,,
"IRL","Ireland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2010","2010","USD","US Dollar","0","Units",,,18755.832,,
"IRL","Ireland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2011","2011","USD","US Dollar","0","Units",,,18284.299,,
"IRL","Ireland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2012","2012","USD","US Dollar","0","Units",,,17979.943,,
"IRL","Ireland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2013","2013","USD","US Dollar","0","Units",,,17890.01,,
"IRL","Ireland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2014","2014","USD","US Dollar","0","Units",,,17854.875,,
"IRL","Ireland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2015","2015","USD","US Dollar","0","Units",,,17907.637,,
"IRL","Ireland","PPP","In 2015 constant prices at 2015 USD PPPs","A","Annual","2016","2016","USD","US Dollar","0","Units",,,18942.762,,
"ESP","Spain","EXR","In 2015 constant prices at 2015 USD exchange rates","A","Annual","2000","2000","USD","US Dollar","0","Units",,,9252.8477,,
