code;year;immigres_AUS;immigres_AUT;immigres_BEL;immigres_CAN;immigres_CHE;immigres_CHL;immigres_CZE;immigres_DEU;immigres_DNK;immigres_ESP;immigres_EST;immigres_FIN;immigres_FRA;immigres_GBR;immigres_GRC;immigres_HUN;immigres_IRL;immigres_ISL;immigres_ISR;immigres_ITA;immigres_JPN;immigres_KOR;immigres_LUX;immigres_LVA;immigres_MEX;immigres_NLD;immigres_NOR;immigres_NZL;immigres_POL;immigres_PRT;immigres_SVK;immigres_SVN;immigres_SWE;immigres_TUR;immigres_USA
AFG ;2010;30840.0;15116.0;2759.0;;3621.0;;300.0;146305.0;20060.0;;;5135.0;7553.0;76000.0;;1289.0;;12.0;;8645.0;1148.0;118.0;102.0;;22.0;35158.0;17893.0;;;;175.0;8.0;24217.0;7361.0;75189.0
AFG ;2011;32970.0;20359.0;10271.0;40940.0;6249.0;;582.0;146563.0;20748.0;;27.0;5708.0;8631.0;81000.0;;1762.0;;14.0;;8972.0;1355.0;172.0;66.0;;4.0;35990.0;18691.0;;;;55.0;9.0;30199.0;10734.0;79557.0
AFG ;2012;34510.0;25992.0;21808.0;;7421.0;;194.0;146763.0;21364.0;;33.0;6277.0;9636.0;71065.0;;2194.0;;17.0;;10255.0;1609.0;201.0;75.0;;6.0;36726.0;19880.0;;;;183.0;14.0;38163.0;19539.0;85192.0
AFG ;2013;36930.0;32242.0;21886.0;;8520.0;;217.0;157974.0;22470.0;;41.0;6906.0;;74000.0;;2495.0;;23.0;;13093.0;1901.0;280.0;89.0;;;36546.0;20573.0;2442.0;;;208.0;14.0;45405.0;27893.0;83627.0
AFG ;2014;41140.0;37128.0;23329.0;;9462.0;;216.0;179385.0;22682.0;;49.0;7564.0;;99000.0;;2610.0;;31.0;;15159.0;2154.0;230.0;88.0;16.0;7.0;36214.0;20622.0;;;;216.0;30.0;52009.0;33569.0;94151.0
AFG ;2015;43200.0;72225.0;40195.0;;10350.0;;257.0;245454.0;22852.0;;55.0;8021.0;;93000.0;;2757.0;;42.0;;17458.0;2639.0;220.0;284.0;16.0;4.0;36486.0;21915.0;;;;252.0;29.0;57299.0;77175.0;100678.0
AGO ;2010;530.0;512.0;2939.0;;6222.0;;;6416.0;194.0;6159.0;;741.0;32281.0;37000.0;;116.0;;38.0;;3333.0;30.0;53.0;774.0;;102.0;6608.0;652.0;;;23494.0;26.0;;975.0;11.0;
AGO ;2011;530.0;541.0;3090.0;2565.0;8891.0;;196.0;6196.0;190.0;5973.0;4.0;806.0;33038.0;37000.0;;104.0;;38.0;;3301.0;33.0;57.0;87.0;;45.0;6398.0;654.0;;;184167.0;21.0;3.0;966.0;4.0;
AGO ;2012;540.0;609.0;10060.0;;9128.0;;;6082.0;189.0;5860.0;4.0;804.0;34756.0;14426.0;;117.0;;36.0;;3393.0;27.0;83.0;91.0;;44.0;6202.0;669.0;;;20336.0;38.0;10.0;964.0;0.0;
AGO ;2013;550.0;621.0;10031.0;;9366.0;;;6074.0;199.0;5434.0;6.0;753.0;;10000.0;;135.0;;39.0;;3353.0;26.0;93.0;89.0;;;6005.0;648.0;30.0;;20177.0;40.0;10.0;941.0;;
AGO ;2014;550.0;620.0;10012.0;;9486.0;;;5611.0;207.0;5148.0;6.0;738.0;;15000.0;;137.0;;36.0;;3268.0;22.0;77.0;92.0;;46.0;5788.0;646.0;;;19710.0;40.0;10.0;933.0;24.0;
