Département;Nom de Ville;Info;Code Commune;Potentiel Fiscal;Population;Nombre de policiers municipaux;Nombre d'agents de Surveillance de la voix publique;Nombre de gardes-champêtres;Nombre de centres de supervision urbaine (CSU);Personnes pour un policier;Nombre de policiers et de gardes-champêtres;Personnes pour un policier ou un garde-champêtre;KML
01;Ambérieu-en-Bugey;EPCI dont données du syndicat mixte Bugey-Côtière-Plaine de l'Ain (gardes gardes-champêtres: 1);004;902;13835;8;2;0;0;1729;8;1683;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							5.394262799928424,45.93990127304244,0 5.408819757268204,45.94206079146532,0 5.413533405897661,45.97889779714951,0 5.396959702283461,45.98169133510788,0 5.396285345268113,45.9783722513691,0 5.378274484108942,45.97423848858494,0 5.347486644324855,45.98247555437,0 5.337615969823859,45.98404910573225,0 5.330758834236353,45.97562303824191,0 5.327425752784034,45.95638566128726,0 5.341280890273499,45.94838828813502,0 5.345045465969593,45.95066166136756,0 5.372704318132437,45.94333739617107,0 5.374215189987424,45.93674715244309,0 5.386190824025694,45.930927620632,0 5.394262799928424,45.93990127304244,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
01;Ambérieux-en-Dombes;"";005;466;1616;0;0;1;0;0;1;1616;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							4.918910474210629,45.98240566628936,0 4.927730029540482,45.98004000385493,0 4.942867036044003,45.97915076952437,0 4.947317266994951,45.98442487925275,0 4.947954097863749,46.00059169224919,0 4.919482839934366,46.00733796746274,0 4.909555102365739,46.01925158083101,0 4.887170761437072,46.0157533448637,0 4.886586112265476,46.00247703033081,0 4.877254289531847,45.99112050673777,0 4.880940268970559,45.98591608323601,0 4.895580369408865,45.97991618124609,0 4.918910474210629,45.98240566628936,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
01;Arbent;"";014;1661;3476;4;0;0;0;869;4;869;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							5.725181211213011,46.26069320709826,0 5.715960260221009,46.28037548134505,0 5.718977516099235,46.29428713613943,0 5.714553032546821,46.30806998806304,0 5.684582306162635,46.31093371422548,0 5.673091240553827,46.30540158468135,0 5.659297877505884,46.29176820638129,0 5.651025869358386,46.27555417271879,0 5.653835903258795,46.27267761809642,0 5.679736719103876,46.26218685485006,0 5.713301784177864,46.25663419667013,0 5.725181211213011,46.26069320709826,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
01;Bâgé-la-Ville;"";025;544;3040;1;0;0;0;3040;1;3040;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							4.941546789450153,46.29297068675876,0 4.95636248595051,46.29267210862702,0 4.969934331070291,46.29644652403109,0 4.993181410131213,46.29106084807848,0 5.004606842272841,46.29612978619053,0 5.011350366344991,46.30423489931459,0 5.00804942119633,46.31380521918378,0 4.992491834214365,46.3220861181498,0 4.968256847918187,46.32495735780223,0 4.96516684287259,46.32761385846016,0 4.965930148859048,46.33763505676186,0 4.976035805100389,46.35277309610548,0 4.958722260283728,46.35860243539475,0 4.947116778497587,46.3695380466712,0 4.932803906721568,46.36771881856791,0 4.928160412890841,46.36629319102158,0 4.923219864318149,46.35272146149729,0 4.912872857846327,46.34513120014073,0 4.920735882886924,46.33015483339602,0 4.905489986998495,46.31802565682055,0 4.916326976861018,46.3097192451021,0 4.920970410654051,46.30758735384337,0 4.928035176562493,46.31184561292807,0 4.936993412250423,46.31154053088713,0 4.934913180844611,46.30527967572182,0 4.926593676348698,46.30413262267471,0 4.918859779353557,46.2889145327505,0 4.926572102043836,46.28580285644978,0 4.935138209455516,46.28775634773756,0 4.941546789450153,46.29297068675876,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
01;Bâgé-le-Châtel;Comm de C Pays de Bagé;026;521;796;1;0;1;0;796;2;398;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							4.934913180844611,46.30527967572182,0 4.936993412250423,46.31154053088713,0 4.928035176562493,46.31184561292807,0 4.920970410654051,46.30758735384337,0 4.926593676348698,46.30413262267471,0 4.934913180844611,46.30527967572182,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
01;Balan;"";027;936;2348;1;0;0;0;2348;1;2348;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							5.136001860125687,45.82831570536552,0 5.140904990864428,45.84476195367937,0 5.11004531355685,45.8500899156047,0 5.111197082365777,45.85323926099741,0 5.095395670130825,45.85434417039682,0 5.092116865373044,45.84845059470847,0 5.076522343271357,45.84166702430486,0 5.074286414221967,45.83533042804716,0 5.092558377396625,45.81183360040973,0 5.101067478338761,45.81337808264364,0 5.109058726247162,45.79832063918508,0 5.113620981115172,45.7994153567199,0 5.112379941368523,45.80939257126336,0 5.121250529977299,45.81162239893867,0 5.136001860125687,45.82831570536552,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
01;Béligneux;1, mis à disposition de Bressoles;032;746;2905;1;0;0;0;2905;1;2905;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							5.170477947990681,45.84487319288669,0 5.172308889565076,45.8615844754271,0 5.164945508406587,45.86582458076099,0 5.1509590794053,45.86361440859142,0 5.147132212644698,45.86566900700498,0 5.132117791481097,45.87953767734397,0 5.117342415637514,45.88068021234334,0 5.114468860884287,45.8780585833811,0 5.115034925233801,45.85515827740627,0 5.111197082365777,45.85323926099741,0 5.11004531355685,45.8500899156047,0 5.140904990864428,45.84476195367937,0 5.167502114334828,45.84229090056935,0 5.170477947990681,45.84487319288669,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
01;Bellegarde-sur-Valserine;l'ASVP recruté du 02/07/12 au 31/08/12;033;933;11790;6;1;0;0;1965;6;1965;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							5.821692975148869,46.08989680565416,0 5.820730754980166,46.10293210294282,0 5.829654151576484,46.10566542154711,0 5.838211333352534,46.10255025929639,0 5.855986603988574,46.08666875641141,0 5.863713434966304,46.0987556949688,0 5.860454492528553,46.1085515502421,0 5.867616903618496,46.12116615227377,0 5.866263737756214,46.13470754221122,0 5.866646988537685,46.13683342823911,0 5.853063165160317,46.13259812608072,0 5.854816451924569,46.12245298041681,0 5.83404354754486,46.11340418982003,0 5.825369709955561,46.11554874176873,0 5.819936530138952,46.12807348091611,0 5.807808292898367,46.12228296093248,0 5.807819075031193,46.11236204564979,0 5.7988966899575,46.10049929996762,0 5.790304551305896,46.09786360140802,0 5.802808307103531,46.08882415809786,0 5.798259878398375,46.0836832946849,0 5.802414614915241,46.08466198996991,0 5.81141895737769,46.07842909179244,0 5.821692975148869,46.08989680565416,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
01;Belley;"";034;1045;8755;5;2;0;0;1751;5;1751;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							5.685727164610719,45.73262102594934,0 5.693504911037426,45.73645393742692,0 5.697854065123695,45.73461097205628,0 5.708235389550556,45.74533640697197,0 5.721819318300914,45.74573909404313,0 5.724488209862986,45.74844978165463,0 5.730323669305126,45.75637280246945,0 5.708665382536773,45.76382398267273,0 5.708023254692036,45.77672397275204,0 5.69083064972447,45.77085534976278,0 5.662520504745188,45.77650071622129,0 5.658939446154965,45.7740623849291,0 5.656393469454581,45.76021095279122,0 5.65965931701125,45.7285809976112,0 5.668474605722604,45.71184826894391,0 5.676794428325818,45.70863255332205,0 5.685727164610719,45.73262102594934,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
01;Bellignat;"";031;1337;3537;3;0;0;0;1179;3;1179;<Polygon>				<outerBoundaryIs>					<LinearRing>						<coordinates>							5.658422174211926,46.2245207890591,0 5.661120312907473,46.23116107326939,0 5.639929247013749,46.24537688427196,0 5.634226740320498,46.25830298948747,0 5.629870699110517,46.25685405922106,0 5.619272089431306,46.24980061190648,0 5.613541107877187,46.24047217767909,0 5.613412106563556,46.23695233335184,0 5.645385000244696,46.21986936540782,0 5.658422174211926,46.2245207890591,0 						</coordinates>					</LinearRing>				</outerBoundaryIs>			</Polygon>
