Pays;NbDetenues;Population
"Afghanistan";18283;29488710
"Afrique du Sud";159265;50400316
"Albanie";4482;3178723
"Algerie";56000;35897436
"Allemagne";69385;81629412
"Samoa americaines";132;66667
"Andorre";61;83562
"Angola";16183;18601149
"Anguilla";58;14987
"Antigua et barbuda";295;89394
"Antilles neerlandaises";713;223511
"Arabie saoudite";44600;25056180
"Argentine";60611;40139735
"Armenie";5100;3090909
"Aruba";277;102974
"Australie";29700;22330827
"Autriche";8694;8359615
"Azerbaidjan";20470;8978070
"Bahamas";1322;346073
"Bahrein";1100;808824
"Bangladesh";69650;165833333
"Barbade";910;257062
"Bielorussie";36533;9588714
"Belgique";10561;10887629
"Belize";1396;317995
"Benin";6908;9210667
"Bermudes";278;64953
"Bhoutan";1001;741481
"Birmanie";60053;50044167
"Bolivie";8700;10000000
"Bosnie herzegovine";2717;3683708
"Botswana";5216;1953558
"Bresil";496251;196146640
"Brunei";379;407527
"Bulgarie";9071;7559167
"Burkina Faso";5238;16368750
"Burundi";9844;8635088
"Cambodge";15001;14286667
"Cameroun";23368;19636975
"Canada";39132;33446154
"Cap vert";1300;513834
"Caimans";198;54848
"centrafricaine republique";1320;4551724
"Chili";52319;17266997
"Chine";1650000;1352459016
"Chypre (pays)";883;802727
"Colombie";84444;46654144
"Comores (pays)";130;684211
"Cook";27;21429
"Coree du sud";45681;48596809
"Costa Rica";11635;4672691
"Cote divoire";11143;19898214
"Croatie";5165;4414530
"Congo republique democratique";30000;52631579
"Congo republique";1000;3846154
"Danemark";4091;5528378
"Djibouti";600;882353
"Dominique (pays)";289;67053
"dominicaine republique";21050;9882629
"Ecosse";8050;5261438
"Equateur";11800;13720930
"Egypte";64378;79479012
"Emirats arabes unis";11193;4702941
"Espagne";72081;46205769
"Estonie";3405;1340551
"Ethiopie";85450;86313131
"Feroe";11;47826
"Fidji";1233;856250
"Finlande";3189;5405085
"France";66975;65661765
"Guyane";680;228956
"Polynesie francaise";404;264052
"Gabon";2750;1403061
"Gambie";780;1733333
"Georgie";23995;4386654
"Ghana";13573;24237500
"Gibraltar";50;29586
"Grece";11364;11251485
"Groenland";194;57059
"Grenade (pays)";440;104019
"Guadeloupe";784;466667
"Guam";559;180906
"Guatemala";11140;14467532
"Bailliage de Guernesey";69;66346
"Guinee";2780;9928571
"Guyana";2122;747183
"Haiti";5331;9692727
"Honduras";11846;7692208
"Hong Kong";9988;7083688
"Hongrie";16537;10022424
"Inde";384753;1202353125
"Indonesie";117863;231103922
"Iran";220000;75601375
"Irak";31645;31331683
"Irlande republique";4433;4477778
"Islande";189;315000
"Israel";22725;7123824
"Italie";67615;60914414
"Jamaique";4709;2706322
"Japon";74476;128406897
"Bailliage de Jersey";192;93204
"Jordanie";8500;6390977
"Kazakhstan";55552;15826781
"Kenya";49757;41464167
"Kirghizistan";14435;5406367
"Kiribati";102;100000
"Kosovo";1450;2196970
"Koweit";4179;3050365
"Laos";4020;5826087
"Lettonie";7055;2246815
"Lesotho";2498;2081667
"Liban";5122;4233058
"Liberia";1524;4118919
"Libye";13242;6523153
"Liechtenstein";7;36842
"Lituanie";9139;3311232
"Luxembourg (pays)";706;507914
"Macao";935;550000
"Macedoine";2329;2042982
"Madagascar";18647;20050538
"Malawi";11672;15989041
"Malaisie";38387;27816667
"Maldives";1125;327988
"Mali";5041;15753125
"Malte";583;416429
"Marshall iles";43;63235
"Mauritanie";1700;3400000
"Mauritanie";2354;1293407
"Mayotte";211;202885
"Micronesie";100;111111
"Moldavie";6245;3568571
"Monaco";23;32857
"Mongolie";7265;2700743
"Montenegro";1438;633480
"Maroc";61405;32489418
"Mozambique";16000;23880597
"Namibie";4251;2285484
"Nauru";20;14388
"Nepal";10923;30341667
"Nicaragua";6803;5716807
"Niger";7000;16279070
"Nigeria";50000;161290323
"Nouvelle caledonie";326;245113
"Nouvelle zelande";8755;4399497
"Mariannes du nord";124;87324
"Norvege";3602;4934247
"Oman";1403;2300000
"Ouganda";30649;34437079
"Ouzbekistan";42000;27450980
"Pakistan";75586;188965000
"Palaos";79;20899
"Panama";12293;3522350
"Papouasie nouvelle guinee";4268;6996721
"Paraguay";6146;6336082
"Pays bas";15604;16600000
"Perou";48586;29807362
"Philippines";104710;95190909
"Pologne";83031;38263134
"Portugal";12427;10621368
"Porto Rico";12130;4003300
"Qatar";551;1343902
"Reunion";1307;811801
"Roumanie";29858;21327143
"Russie";793300;141914132
"Rwanda";62000;10420168
"Samoa";300;178571
"Saint christophe et nieves";260;52525
"Sainte lucie";551;174921
"Saint marin";2;31817
"Salomon (pays)";265;540816
"Salvador";24283;6210486
"Sao tome et principe";305;164865
"Senegal";7550;12583333
"Serbie";12000;7317073
"Seychelles";432;85207
"Sierra Leone";2237;5735897
"Singapour";12978;4897358
"Slovaquie";10031;5451630
"Slovenie";1311;2048438
"Sri Lanka";26984;20917829
"Soudan";19144;42542222
"Suriname";915;522857
"Suede";7106;9110256
"Suisse";6181;7824051
"Syrie";10599;18274138
"Swaziland";2628;1200000
"Tadjikistan";9317;7166923
"Tanzanie";37811;46110976
"Tchad";3416;10047059
"tcheque republique";23167;10578539
"Thailande";224292;68381707
"Timor oriental";223;1115000
"Togo";4116;6976271
"Tonga";159;103922
"Trinite et tobago";3591;1301087
"Tunisie";31000;10437710
"Turquie";124074;73853571
"Turkmenistan";10953;4889732
"Tuvalu";8;10000
"Ukraine";154027;45570118
"Angleterre";84902;55856579
"Irlande du Nord";1675;1801075
"Uruguay";9067;3383209
"Vanuatu";187;246053
"Venezuela";43461;29168456
"Viet nam";108557;88981148
"Vierges britanniques";117;25000
"Vierges des etats unis";587;108905
"Yemen";11313;23568750
"Zambie";16666;13226984
"Zimbabwe";15000;12396694
