DEP;genre;nb_sansdip;Date
01             ;homme;34642,8;2011
01             ;femme;36523,8;2011
02             ;homme;42716,1;2011
02             ;femme;49351;2011
03             ;homme;20406,1;2011
03             ;femme;23879,4;2011
04             ;homme;9354,8;2011
04             ;femme;10706,9;2011
05             ;homme;6797,1;2011
05             ;femme;7118,7;2011
06             ;homme;64951,4;2011
06             ;femme;74002,9;2011
07             ;homme;20131,4;2011
07             ;femme;21704,7;2011
08             ;homme;20672,8;2011
08             ;femme;25150,9;2011
09             ;homme;9678,2;2011
09             ;femme;11288,6;2011
10             ;homme;21598,5;2011
10             ;femme;25278,1;2011
11             ;homme;25104;2011
11             ;femme;30255,9;2011
12             ;homme;14723,4;2011
12             ;femme;16172,4;2011
13             ;homme;135044,2;2011
13             ;femme;155582,2;2011
14             ;homme;41855,3;2011
14             ;femme;46806,6;2011
15             ;homme;9594,3;2011
15             ;femme;10198,7;2011
16             ;homme;22575,6;2011
16             ;femme;27453,2;2011
17             ;homme;37595,3;2011
17             ;femme;44749,1;2011
18             ;homme;19046,8;2011
18             ;femme;22257,9;2011
19             ;homme;12494,7;2011
19             ;femme;14557,8;2011
21             ;homme;28250,3;2011
21             ;femme;33217,9;2011
22             ;homme;26748,4;2011
22             ;femme;34077,1;2011
23             ;homme;7326,1;2011
23             ;femme;8286,3;2011
24             ;homme;25656,4;2011
24             ;femme;29541,6;2011
25             ;homme;30431,9;2011
25             ;femme;34876,1;2011
26             ;homme;30703;2011
26             ;femme;33601,8;2011
27             ;homme;41858,1;2011
27             ;femme;45532,7;2011
28             ;homme;28267,4;2011
28             ;femme;30666,9;2011
29             ;homme;28028,3;2011
29             ;femme;39911;2011
30             ;homme;47781,2;2011
30             ;femme;54200,2;2011
31             ;homme;52636,5;2011
31             ;femme;61261;2011
32             ;homme;11417,5;2011
32             ;femme;12727,1;2011
33             ;homme;73326,8;2011
33             ;femme;86975,1;2011
34             ;homme;62630,6;2011
34             ;femme;70793,2;2011
35             ;homme;45340,6;2011
35             ;femme;53025;2011
36             ;homme;16246,6;2011
36             ;femme;18591,6;2011
37             ;homme;30496;2011
37             ;femme;36643,8;2011
38             ;homme;69550,8;2011
38             ;femme;74266,8;2011
39             ;homme;16003,7;2011
39             ;femme;17896,9;2011
40             ;homme;21472,2;2011
40             ;femme;26241,3;2011
41             ;homme;21799;2011
41             ;femme;24985,2;2011
42             ;homme;50262,3;2011
42             ;femme;58361,5;2011
43             ;homme;12710,9;2011
43             ;femme;14303,9;2011
44             ;homme;50738,7;2011
44             ;femme;63522,5;2011
45             ;homme;40209,8;2011
45             ;femme;44437,6;2011
46             ;homme;9217,2;2011
46             ;femme;10714,1;2011
47             ;homme;23845,3;2011
47             ;femme;28364,8;2011
48             ;homme;5060,8;2011
48             ;femme;4761,4;2011
49             ;homme;47993,7;2011
49             ;femme;57932,9;2011
50             ;homme;35851,1;2011
50             ;femme;43239,3;2011
51             ;homme;36456,6;2011
51             ;femme;42229,9;2011
52             ;homme;13074,9;2011
52             ;femme;16033;2011
53             ;homme;21777,1;2011
53             ;femme;24816;2011
54             ;homme;42062,2;2011
54             ;femme;51272,3;2011
55             ;homme;12765,4;2011
55             ;femme;15261,1;2011
56             ;homme;32158;2011
56             ;femme;42136,7;2011
57             ;homme;70781,8;2011
57             ;femme;94629,6;2011
58             ;homme;13969,7;2011
58             ;femme;17160,9;2011
59             ;homme;154714,4;2011
59             ;femme;199497,5;2011
60             ;homme;57484,6;2011
60             ;femme;61668,7;2011
61             ;homme;22097,5;2011
61             ;femme;24863,4;2011
62             ;homme;88811,3;2011
62             ;femme;121094,7;2011
63             ;homme;30642,5;2011
63             ;femme;35219,2;2011
64             ;homme;28319,6;2011
64             ;femme;36643,7;2011
65             ;homme;10688,6;2011
65             ;femme;13571,3;2011
66             ;homme;29566,9;2011
66             ;femme;37226,1;2011
67             ;homme;62081,8;2011
67             ;femme;80300,9;2011
68             ;homme;49742,8;2011
68             ;femme;64277,5;2011
69             ;homme;96786,8;2011
69             ;femme;108473;2011
70             ;homme;15948,2;2011
70             ;femme;17554,5;2011
71             ;homme;35854,8;2011
71             ;femme;42614;2011
72             ;homme;35977,5;2011
72             ;femme;41168,1;2011
73             ;homme;19950;2011
73             ;femme;21729,9;2011
74             ;homme;37754;2011
74             ;femme;42016,4;2011
75             ;homme;98127,6;2011
75             ;femme;108597,7;2011
76             ;homme;86471,2;2011
76             ;femme;104570,9;2011
77             ;homme;78738,8;2011
77             ;femme;82835;2011
78             ;homme;66100,8;2011
78             ;femme;72369,1;2011
79             ;homme;23439,1;2011
79             ;femme;25950,6;2011
80             ;homme;44177,6;2011
80             ;femme;51397,1;2011
81             ;homme;24145,1;2011
81             ;femme;29013,5;2011
82             ;homme;17035,3;2011
82             ;femme;19382,6;2011
83             ;homme;57573,6;2011
83             ;femme;66502,3;2011
84             ;homme;39886,3;2011
84             ;femme;45670,7;2011
85             ;homme;36266,7;2011
85             ;femme;43239,1;2011
86             ;homme;23963,4;2011
86             ;femme;27845,2;2011
87             ;homme;19412,9;2011
87             ;femme;23804,2;2011
88             ;homme;25554,8;2011
88             ;femme;30505,3;2011
89             ;homme;23947;2011
89             ;femme;26283,6;2011
90             ;homme;8879,3;2011
90             ;femme;10421,4;2011
91             ;homme;66761,4;2011
91             ;femme;68537,8;2011
92             ;homme;70562,7;2011
92             ;femme;80927,5;2011
93             ;homme;150021,7;2011
93             ;femme;148301;2011
94             ;homme;82719,6;2011
94             ;femme;85024,3;2011
95             ;homme;79191,9;2011
95             ;femme;82799,1;2011
01             ;homme;34147,4;2012
01             ;femme;35896,2;2012
02             ;homme;41879,9;2012
02             ;femme;48277,4;2012
03             ;homme;19898,7;2012
03             ;femme;23359,2;2012
04             ;homme;9331,9;2012
04             ;femme;10838,7;2012
05             ;homme;6708,5;2012
05             ;femme;6992,2;2012
06             ;homme;64520,1;2012
06             ;femme;72687,9;2012
07             ;homme;19730,5;2012
07             ;femme;21219,8;2012
08             ;homme;20222,9;2012
08             ;femme;24728,5;2012
09             ;homme;9558;2012
09             ;femme;11166,1;2012
10             ;homme;21496,5;2012
10             ;femme;25109,5;2012
11             ;homme;24494,5;2012
