DEP;P12_HNSCOL15P_DIPL0;P12_FNSCOL15P_DIPL0
01; 44,826923077; 31,876923077
01; 6,025641026; 10,042735043
01; 173,684788394; 166,081627495
01; 269,647489297; 312,247694257
01; 190,879086333; 313,501397766
01; 189,833992381; 167,929007034
01; 100,592821782; 88,399752475
01; 5,892857143; 7,857142857
01; 107,192699525; 105,244414845
01; 27,811827957; 30,791666667
01; 12,035608309; 13,038575668
01; 42,0; 65,0
01; 17,0; 11,0
01; 18,0; 16,0
01; 3,0; 4,0
01; 397,0; 402,0
01; 21,733333333; 22,721212121
01; 26,977443609; 22,827067669
01; 28,199524941; 33,235154394
01; 3,0; 0,0
01; 40,710370446; 29,761574836
01; 63,934398808; 82,495998462
01; 8,750621621; 2,091341217
01; 110,0; 109,0
01; 170,494557959; 139,932338416
01; 43,775222095; 39,118283575
01; 145,550018704; 72,452395726
01; 28,391608392; 35,244755245
01; 67,0; 73,0
01; 48,871331828; 51,803611738
01; 326,0; 382,0
01; 104,416744186; 125,686821705
01; 95,542195943; 128,462172327
01; 255,955480053; 293,087466112
01; 184,169089159; 196,066403513
01; 230,048885645; 283,532277681
01; 157,804242239; 171,597162899
01; 197,642678043; 201,809758696
01; 247,578598012; 329,591725232
01; 180,142751424; 244,959754314
01; 16,548286604; 10,342679128
01; 18,966188717; 18,96386302
01; 16,146609273; 10,156260216
01; 30,168577017; 18,10114621
01; 32,855579869; 24,407002188
01; 12,485393258; 19,768539326
01; 36,652815013; 41,605898123
01; 8,421052632; 10,526315789
01; 184,505900559; 183,517703415
01; 48,264705882; 41,640138408
01; 4,732142857; 3,785714286
01; 59,0; 60,0
01; 30,981941309; 25,818284424
01; 135,353503134; 130,278500309
01; 23,958333333; 13,541666667
01; 5,0; 7,0
01; 14,0; 6,0
01; 104,590658191; 161,76385757
01; 60,44838532; 115,659038494
01; 118,70709802; 166,027059724
01; 100,316963825; 115,256289305
01; 103,374437749; 148,698545089
01; 103,33070875; 67,17038473
01; 92,869625823; 88,845242445
01; 112,835869778; 238,126337898
01; 179,72431697; 263,601157973
01; 137,531572671; 149,595973757
01; 97,614901479; 171,527257438
01; 130,824013227; 159,873517376
01; 329,110982883; 382,965391794
01; 286,776864365; 398,022833615
01; 205,677086938; 177,068656738
01; 150,819812186; 216,754005208
01; 125,566012281; 130,955747029
01; 487,047051608; 148,078027927
01; 45,953895072; 38,131955485
01; 21,0; 16,0
01; 29,938745922; 26,949964967
01; 51,225236897; 42,454528524
01; 2,0; 3,0
01; 19,0; 20,0
01; 47,215025907; 46,165803109
01; 25,836206897; 22,00862069
01; 20,798850575; 29,712643678
01; 67,921612542; 61,746920493
01; 42,019384265; 38,110604333
01; 3,084507042; 5,14084507
01; 11,908745247; 10,91634981
01; 19,797021577; 17,81731942
01; 46,093899443; 36,075287686
01; 123,0; 128,0
01; 88,810993828; 118,736437401
01; 44,809950249; 35,068656716
01; 119,633922992; 149,506293481
01; 56,755364807; 44,806866953
01; 20,0; 10,0
01; 9,205714286; 4,091428571
01; 51,296695945; 50,156769368
01; 21,986537073; 28,678091835
01; 27,0; 24,0
01; 35,167916662; 41,821306301
01; 29,0; 21,0
01; 43,371604938; 43,371604938
01; 33,180113079; 35,253870147
01; 14,235294118; 10,168067227
01; 17,0; 10,0
01; 21,975956284; 24,972677596
01; 96,91995998; 94,097048524
01; 10,421686747; 9,379518072
01; 191,183534023; 205,264967426
01; 67,427295918; 66,420918367
01; 292,0; 345,0
01; 43,954918033; 42,978142077
01; 27,0; 17,0
01; 49,179487179; 59,998974359
01; 7,100478469; 10,14354067
01; 57,963528045; 45,473142496
01; 68,028866517; 61,709176359
01; 10,935251799; 8,748201439
01; 3,950617284; 4,938271605
01; 40,869436582; 36,882174476
01; 41,113776559; 45,681973955
01; 12,053452116; 21,093541203
01; 44,001343183; 49,61853593
01; 4,0; 4,0
01; 4,058394161; 5,072992701
01; 64,0; 53,0
01; 89,005131576; 104,136453109
01; 6,353846154; 16,338461538
01; 4,533898305; 2,720338983
01; 21,727722772; 21,727722772
01; 30,338164251; 36,026570048
01; 21,0; 20,0
01; 44,6125; 39,425
01; 25,984251969; 22,866141732
01; 0,986394558; 4,931972789
01; 81,0; 80,0
01; 9,870967742; 8,774193548
01; 7,181034483; 4,103448276
01; 34,598393488; 31,401395339
01; 72,136579557; 59,944481603
01; 56,816; 47,168
01; 15,870759289; 24,798061389
01; 24,0; 12,0
01; 14,315789474; 17,383458647
01; 15,643122677; 16,620817844
01; 43,960214231; 55,473603673
01; 19,050802139; 22,058823529
01; 87,711067356; 73,753319209
01; 50,683870968; 62,380148883
01; 42,844951923; 33,877403846
01; 229,778804735; 247,629467818
01; 32,0; 26,0
01; 21,0; 24,0
01; 17,0; 15,0
01; 208,598467919; 211,847047941
01; 120,0; 183,0
01; 52,0; 52,0
01; 88,0; 108,0
01; 52,0; 39,0
01; 49,709551767; 53,752712607
01; 14,0; 24,0
01; 34,0; 29,0
01; 148,0; 179,0
01; 21,676715177; 31,998960499
01; 2,891891892; 0,963963964
01; 55,922333598; 53,888794194
01; 22,0; 26,0
01; 28,566176471; 28,566176471
01; 27,102143758; 30,113493064
01; 7,2; 8,228571429
01; 28,834196891; 18,261658031
01; 82,717637302; 101,903936599
01; 35,511709602; 44,120608899
01; 205,892853417; 206,874595722
01; 97,870493549; 99,417887203
01; 65,092683637; 89,981062675
01; 198,149786955; 240,26858225
01; 2,0; 0,0
01; 105,69319822; 116,51296067
01; 62,471655329; 47,127739985
01; 96,909965165; 84,924535903
01; 31,808095952; 27,832083958
01; 26,308967421; 26,308967421
01; 80,922922923; 62,398398398
01; 56,50862069; 62,456896552
01; 5,034246575; 8,054794521
01; 151,034965805; 163,541045776
01; 153,92098426; 173,199069922
01; 109,668701285; 104,858670527
01; 11,407407407; 11,407407407
01; 43,640014619; 43,608782111
01; 3,783904822; 3,783904822
01; 3,84180791; 5,762711864
01; 104,363349131; 112,548709847
01; 16,313768849; 24,516743101
01; 51,973041281; 57,856781803
01; 23,409836066; 22,43442623
01; 69,315036095; 79,700739577
01; 32,952134541; 29,862871928
01; 323,275877618; 278,374594048
01; 1,976744186; 0,988372093
01; 8,970099668; 7,973421927
01; 30,684210526; 29,661403509
01; 50,795695041; 45,889745726
01; 15,0; 10,0
01; 6,0; 7,0
01; 143,882691238; 152,961398096
01; 12,787878788; 11,874458874
01; 304,658763088; 334,998282017
01; 150,312262178; 149,82849276
01; 50,999389199; 60,863577311
01; 48,669144981; 54,752788104
01; 9,0; 6,0
01; 11,406844106; 5,703422053
01; 87,959554515; 118,050197384
01; 12,87254902; 10,892156863
01; 182,600661226; 212,686016267
01; 229,884484019; 301,435818028
01; 50,04303092; 60,051778732
01; 9,254032258; 3,084677419
01; 60,46646245; 54,419816205
01; 24,0; 12,0
01; 14,0; 11,0
01; 5,135135135; 11,297297297
01; 39,324599709; 32,174672489
01; 12,893520887; 13,87688732
01; 49,989384289; 35,286624204
01; 47,326043736; 37,259579597
01; 60,384307446; 52,333066453
01; 4,803921569; 5,764705882
01; 5,3; 0,0
01; 43,049603866; 45,054364464
01; 5,0; 5,0
01; 6,493975904; 6,493975904
01; 3,182608696; 4,243478261
01; 167,0; 196,0
01; 18,091836735; 14,071428571
01; 23,494033413; 17,365155131
01; 63,746478873; 43,183098592
01; 44,83373315; 37,092103383
01; 19,546925566; 13,682847896
01; 93,613963039; 85,646817248
01; 153,822494958; 138,984506766
01; 8,0; 4,0
01; 8,162790698; 6,348837209
01; 48,720360724; 41,141637945
01; 38,847011145; 32,713272543
01; 102,0; 116,0
01; 78,304803762; 87,224874037
01; 28,1344; 18,0864
01; 16,0; 13,0
01; 38,512644543; 30,604895953
01; 2,08; 3,12
01; 65,406862745; 42,613562092
01; 149,035962052; 215,124420115
01; 84,140125012; 147,970928482
01; 109,679306634; 133,903377178
01; 26,351258581; 27,327231121
01; 129,277331913; 106,056030697
01; 11,852159425; 9,878872887
01; 71,227245691; 62,070202099
01; 110,090361736; 150,317408244
01; 372,777680345; 424,413839021
