REG;DEP;P12_FNSCOL15P_DIPL0
82;01; 31,876923077
82;01; 10,042735043
82;01; 166,081627495
82;01; 312,247694257
82;01; 313,501397766
82;01; 167,929007034
82;01; 88,399752475
82;01; 7,857142857
82;01; 105,244414845
82;01; 30,791666667
82;01; 13,038575668
82;01; 65,0
82;01; 11,0
82;01; 16,0
82;01; 4,0
82;01; 402,0
82;01; 22,721212121
82;01; 22,827067669
82;01; 33,235154394
82;01; 0,0
82;01; 29,761574836
82;01; 82,495998462
82;01; 2,091341217
82;01; 109,0
82;01; 139,932338416
82;01; 39,118283575
82;01; 72,452395726
82;01; 35,244755245
82;01; 73,0
82;01; 51,803611738
82;01; 382,0
82;01; 125,686821705
82;01; 128,462172327
82;01; 293,087466112
82;01; 196,066403513
82;01; 283,532277681
82;01; 171,597162899
82;01; 201,809758696
82;01; 329,591725232
82;01; 244,959754314
82;01; 10,342679128
82;01; 18,96386302
82;01; 10,156260216
82;01; 18,10114621
82;01; 24,407002188
82;01; 19,768539326
82;01; 41,605898123
82;01; 10,526315789
82;01; 183,517703415
82;01; 41,640138408
82;01; 3,785714286
82;01; 60,0
82;01; 25,818284424
82;01; 130,278500309
82;01; 13,541666667
82;01; 7,0
82;01; 6,0
82;01; 161,76385757
82;01; 115,659038494
82;01; 166,027059724
82;01; 115,256289305
82;01; 148,698545089
82;01; 67,17038473
82;01; 88,845242445
82;01; 238,126337898
82;01; 263,601157973
82;01; 149,595973757
82;01; 171,527257438
82;01; 159,873517376
82;01; 382,965391794
82;01; 398,022833615
82;01; 177,068656738
82;01; 216,754005208
82;01; 130,955747029
82;01; 148,078027927
82;01; 38,131955485
82;01; 16,0
82;01; 26,949964967
82;01; 42,454528524
82;01; 3,0
82;01; 20,0
82;01; 46,165803109
82;01; 22,00862069
82;01; 29,712643678
82;01; 61,746920493
82;01; 38,110604333
82;01; 5,14084507
82;01; 10,91634981
82;01; 17,81731942
82;01; 36,075287686
82;01; 128,0
82;01; 118,736437401
82;01; 35,068656716
82;01; 149,506293481
82;01; 44,806866953
82;01; 10,0
82;01; 4,091428571
82;01; 50,156769368
82;01; 28,678091835
82;01; 24,0
82;01; 41,821306301
82;01; 21,0
82;01; 43,371604938
82;01; 35,253870147
82;01; 10,168067227
82;01; 10,0
82;01; 24,972677596
82;01; 94,097048524
82;01; 9,379518072
82;01; 205,264967426
82;01; 66,420918367
82;01; 345,0
82;01; 42,978142077
82;01; 17,0
82;01; 59,998974359
82;01; 10,14354067
82;01; 45,473142496
82;01; 61,709176359
82;01; 8,748201439
82;01; 4,938271605
82;01; 36,882174476
82;01; 45,681973955
82;01; 21,093541203
82;01; 49,61853593
82;01; 4,0
82;01; 5,072992701
82;01; 53,0
82;01; 104,136453109
82;01; 16,338461538
82;01; 2,720338983
82;01; 21,727722772
82;01; 36,026570048
82;01; 20,0
82;01; 39,425
82;01; 22,866141732
82;01; 4,931972789
82;01; 80,0
82;01; 8,774193548
82;01; 4,103448276
82;01; 31,401395339
82;01; 59,944481603
