REG;DEP;P13_NSCOL15P_DIPLMIN
82;01; 179,95
82;01; 34,290598291
82;01; 541,085646465
82;01; 987,96815487
82;01; 1017,070448602
82;01; 748,874450391
82;01; 335,281037678
82;01; 27,964285714
82;01; 444,166969577
82;01; 126,0
82;01; 66,0
82;01; 250,828811974
82;01; 76,753246753
82;01; 85,819935691
82;01; 43,45
82;01; 1168,160827978
82;01; 123,0
82;01; 83,89183223
82;01; 140,332541568
82;01; 3,5
82;01; 199,0
82;01; 323,796926476
82;01; 16,654220561
82;01; 568,1414791
82;01; 634,369671344
82;01; 215,349937603
82;01; 485,939393939
82;01; 109,417085427
82;01; 226,534842155
82;01; 178,957110609
82;01; 1082,606656228
82;01; 531,0
82;01; 428,8160716
82;01; 952,892602368
82;01; 679,003402194
82;01; 834,355735751
82;01; 496,508586214
82;01; 763,583365646
82;01; 1241,402009405
82;01; 618,900791631
82;01; 58,133333333
82;01; 89,830901112
82;01; 63,658207876
82;01; 155,870786113
82;01; 117,0
82;01; 79,628099174
82;01; 168,0
82;01; 53,684210526
82;01; 783,824583176
82;01; 130,0
82;01; 38,0
82;01; 208,773561812
82;01; 116,112
82;01; 527,301000233
82;01; 75,073148585
82;01; 23,736263736
82;01; 65,703225806
82;01; 408,260573578
82;01; 488,889875028
82;01; 453,87129633
82;01; 441,159502416
82;01; 481,940293369
82;01; 402,660886385
82;01; 426,519103682
82;01; 566,323827617
82;01; 716,972755907
82;01; 591,931479911
82;01; 454,183998952
82;01; 564,151724492
82;01; 971,760904001
82;01; 1073,015961029
82;01; 631,808629162
82;01; 542,293318749
82;01; 517,84868495
82;01; 1012,882938101
82;01; 193,0
82;01; 85,642458101
82;01; 97,567865808
82;01; 164,445466496
82;01; 24,72826087
82;01; 117,495395948
82;01; 205,977796755
82;01; 124,0
82;01; 116,191570881
82;01; 203,39
82;01; 265,9327252
82;01; 17,23943662
82;01; 52,798479087
82;01; 163,991529692
82;01; 220,0
82;01; 486,650842249
82;01; 528,0
82;01; 232,0
82;01; 560,222621496
82;01; 204,839613827
82;01; 64,657142857
82;01; 46,542857143
82;01; 206,027619789
82;01; 146,725642506
82;01; 91,175965665
82;01; 147,261513339
82;01; 102,885548562
82;01; 181,948148148
82;01; 144,783223968
82;01; 66,176470588
82;01; 69,243816254
82;01; 136,0
82;01; 398,869434717
82;01; 65,34939759
82;01; 714,941302532
82;01; 318,010841837
82;01; 1326,452934371
82;01; 194,0
82;01; 142,667711599
82;01; 219,0
82;01; 49,837320574
82;01; 224,0
82;01; 268,550418351
82;01; 48,316546763
82;01; 28,538461538
82;01; 200,0
82;01; 164,572995202
82;01; 93,432071269
82;01; 220,650100739
82;01; 38,0
82;01; 24,817518248
82;01; 325,390667509
82;01; 329,827673331
82;01; 38,153846154
82;01; 18,194915254
82;01; 79,380722892
82;01; 185,925120773
82;01; 99,608609238
82;01; 268,603333333
82;01; 108,086614173
82;01; 16,884353741
82;01; 293,585862046
82;01; 54,396313364
82;01; 26,0
82;01; 150,0
82;01; 268,508567421
82;01; 155,161387632
82;01; 120,60904685
82;01; 113,0
82;01; 63,707641196
82;01; 70,202247191
82;01; 247,439938791
82;01; 81,079691517
82;01; 396,860767983
82;01; 215,0
82;01; 173,790865385
82;01; 827,156285567
82;01; 162,083032191
