DEP;P10_HNSCOL15P_DIPL0;P10_FNSCOL15P_DIPL0
01; 45,230769; 32,164103
01; 5,666667; 9,444444
01; 153,491113; 140,731982
01; 270,220963; 369,148159
01; 172,605799; 267,142273
01; 182,453347; 198,229019
01; 99,0; 87,0
01; 6,214286; 8,285714
01; 124,06008; 113,193321
01; 33,287671; 32,178082
01; 13,353474; 18,489426
01; 39,053321; 60,439663
01; 16,028571; 10,371429
01; 17,4791; 15,536977
01; 3,05625; 4,075
01; 401,282179; 406,381655
01; 16,237836; 23,341889
01; 26,0; 22,0
01; 28,0; 33,0
01; 3,0; 0,0
01; 47,074057; 46,859603
01; 61,22617; 79,00151
01; 8,0; 4,0
01; 103,845659; 102,901608
01; 197,558363; 149,613413
01; 46,250391; 43,234061
01; 155,39209; 78,287025
01; 29,0; 36,0
01; 57,398751; 61,814904
01; 54,061743; 60,068743
01; 317,546259; 372,085166
01; 115,096871; 136,470396
01; 137,38095; 140,458476
01; 279,560323; 336,57069
01; 230,528702; 337,767458
01; 227,578615; 276,321086
01; 157,853952; 171,097141
01; 209,024756; 197,826007
01; 242,623557; 323,111115
01; 177,543353; 242,382545
01; 16,0; 10,0
01; 18,554555; 18,53044
01; 15,710196; 10,118401
01; 30,421335; 18,252801
01; 29,502825; 24,234463
01; 12,0; 19,0
01; 39,546218; 42,588235
01; 7,935223; 9,919028
01; 193,805809; 194,870318
01; 30,25; 27,008929
01; 3,078261; 5,130435
01; 57,555692; 58,531212
01; 30,0; 25,0
01; 136,0; 131,0
01; 23,0; 13,0
01; 5,164835; 7,230769
01; 13,954839; 5,980645
01; 128,617108; 182,636873
01; 92,706832; 149,842431
01; 107,223206; 159,519297
01; 89,117646; 100,709454
01; 133,994735; 164,908126
01; 93,476976; 78,382359
01; 80,466566; 84,34433
01; 109,500716; 228,092977
01; 188,164114; 306,131277
01; 126,725696; 131,861835
01; 104,811524; 197,784222
01; 166,86568; 172,891491
01; 287,534166; 376,216539
01; 216,851928; 346,885211
01; 187,852587; 185,901738
01; 158,748633; 227,57028
01; 151,950725; 131,738596
01; 491,530849; 146,110216
01; 51,419178; 53,561644
01; 18,829609; 14,346369
01; 30,0; 27,0
01; 48,0; 40,0
01; 2,0; 3,0
01; 19,034991; 20,036832
01; 45,0; 44,0
01; 26,698303; 23,731824
01; 20,798851; 29,712644
01; 66,0; 60,0
01; 44,854375; 39,63875
01; 5,142857; 3,085714
01; 7,99999; 9,999988
01; 20,0; 18,0
01; 52,817241; 34,87931
01; 113,085214; 117,682174
01; 126,146338; 141,678081
01; 50,937369; 48,896853
01; 113,069646; 136,305831
01; 57,0; 45,0
01; 18,142857; 9,071429
01; 9,205714; 4,091429
01; 45,0; 44,0
01; 86,971814; 101,969306
01; 26,88412; 23,896996
01; 34,050537; 40,059456
01; 27,615928; 19,997741
01; 43,530864; 43,530864
01; 32,0; 34,0
01; 13,372549; 9,551821
01; 17,660777; 10,388693
01; 29,967105; 26,970395
01; 100,17814; 103,277454
01; 5,207101; 7,289941
01; 189,279212; 203,711411
01; 62,631452; 49,507452
01; 291,037127; 346,141433
01; 54,032984; 63,208396
01; 27,253918; 17,159875
01; 40,882029; 65,411246
01; 6,665072; 9,521531
01; 56,202696; 42,672417
01; 64,0; 58,0
01; 15,096154; 14,089744
01; 4,0; 5,0
01; 52,487945; 56,772675
01; 31,458505; 31,458505
01; 11,599109; 20,298441
01; 53,870797; 55,903657
01; 5,08982; 5,08982
01; 3,941606; 4,927007
01; 63,372335; 52,480215
01; 103,131796; 95,839649
01; 5,04386; 11,096491
01; 3,029126; 1,009709
01; 21,0; 21,0
01; 32,956407; 44,940555
01; 20,214388; 19,251798
01; 41,459167; 36,638333
01; 31,526415; 20,339623
01; 4,21875; 2,109375
01; 80,010479; 78,702959
01; 15,444915; 12,355932
01; 11,462185; 6,252101
01; 42,089119; 30,068321
01; 70,598808; 58,666615
01; 53,0; 44,0
01; 18,618557; 24,824742
01; 17,589796; 18,62449
01; 14,0; 17,0
01; 16,0; 17,0
01; 40,361132; 50,931905
01; 19,0; 22,0
01; 88,001444; 74,000911
01; 48,500566; 83,294451
01; 50,744417; 34,506203
01; 227,0; 244,0
01; 32,358871; 26,291583
01; 20,238114; 23,129274
01; 16,87561; 14,890244
01; 204,803012; 207,742768
01; 113,652285; 173,319734
01; 49,249323; 49,249323
01; 83,926433; 102,762767
01; 50,151376; 37,613532
01; 68,565943; 71,63606
01; 14,0; 24,0
01; 34,584946; 29,498925
01; 157,887761; 190,958846
01; 21,0; 31,0
01; 4,078049; 1,019512
01; 55,0; 53,0
01; 22,057143; 26,067532
01; 32,875735; 54,085887
01; 39,843511; 39,843511
01; 7,0; 8,0
01; 26,313756; 21,051005
01; 80,704757; 99,367515
01; 33,0; 41,0
01; 209,563608; 208,190082
01; 77,994478; 110,767156
01; 76,927725; 112,807766
01; 207,394045; 231,994893
01; 3,15; 3,15
01; 102,0; 113,0
01; 57,0; 43,0
01; 97,453127; 85,381138
01; 28,7; 29,725
01; 36,686747; 38,783133
01; 75,385463; 69,273128
01; 57,935841; 57,935841
01; 4,965753; 7,945205
01; 162,764375; 186,482956
01; 172,769394; 137,691285
01; 124,380916; 104,301625
01; 11,0; 11,0
01; 43,991037; 42,96799
01; 8,226415; 6,169811
01; 2,037975; 4,075949
01; 102,0; 110,0
01; 16,0; 24,0
01; 62,437004; 52,36652
01; 20,229226; 25,286533
01; 65,374639; 75,103731
01; 32,0; 29,0
01; 342,360757; 289,731438
01; 6,15; 4,1
01; 11,182724; 12,199336
01; 30,0; 29,0
01; 49,139734; 48,136882
01; 14,615385; 9,74359
01; 5,822485; 6,792899
01; 142,058354; 150,974441
01; 9,950495; 12,935644
01; 290,0; 318,0
01; 144,0; 143,0
01; 47,182841; 55,869923
01; 46,795539; 52,644981
01; 8,55132; 5,70088
01; 17,227468; 9,570815
01; 114,855722; 143,850754
01; 13,0; 11,0
01; 181,212125; 211,082255
01; 228,017419; 298,705683
01; 49,22798; 59,070339
01; 8,673387; 2,891129
01; 54,396098; 61,580488
01; 23,452471; 11,726236
01; 13,76431; 10,814815
01; 5,0; 11,0
01; 34,41966; 31,192817
01; 12,001304; 9,999793
01; 67,134281; 39,860979
01; 47,0; 37,0
01; 68,701587; 66,680952
01; 5,0; 6,0
01; 5,086207; 3,051724
01; 42,109333; 44,042251
01; 4,739583; 4,739583
01; 9,060811; 7,047297
01; 3,101695; 2,067797
01; 147,542129; 172,579121
01; 18,045918; 14,035714
01; 23,0; 17,0
01; 65,693462; 47,501426
01; 52,531532; 48,243243
01; 25,263158; 25,263158
01; 85,420719; 90,505285
01; 150,997837; 135,958371
01; 7,317829; 3,658915
01; 7,84106; 2,940397
01; 45,0; 38,0
01; 53,055838; 45,913706
01; 103,222713; 117,390536
01; 78,0; 86,0
01; 27,2384; 17,5104
01; 16,0; 13,0
01; 72,898778; 72,903882
01; 5,110294; 3,066176
01; 63,791457; 56,703518
01; 147,0; 211,0
01; 82,0; 144,0
01; 111,0; 134,0
01; 32,838037; 33,833129
01; 126,905172; 104,094828
01; 12,0; 10,0
01; 70,0; 60,0
01; 108,0; 147,0
01; 371,0; 417,0
01; 108,0; 98,0
01; 73,975319; 59,180255
01; 49,614206; 38,476323
01; 39,39496; 45,615217
01; 21,0; 31,0
01; 13,915663; 8,945783
01; 45,06425; 41,228995
01; 28,0; 22,0
01; 11,0; 7,0
01; 27,181513; 22,147899
01; 143,381289; 153,817053
01; 387,460944; 520,521296
01; 154,0; 165,0
01; 48,501567; 39,407524
01; 362,672893; 420,256054
01; 115,572019; 158,785905
01; 57,764368; 60,804598
01; 13,275424; 17,360169
01; 393,905504; 389,832501
01; 19,169946; 21,187835
01; 70,785714; 83,273949
01; 82,951279; 69,137386
01; 72,52; 60,76
01; 101,602554; 75,955307
01; 83,344317; 76,40224
01; 4,115108; 5,143885
01; 3,956522; 3,956522
01; 10,137255; 5,529412
01; 124,006663; 139,03307
01; 21,0; 18,0
01; 385,425215; 450,397431
01; 498,155454; 585,097147
01; 388,829886; 416,462184
01; 261,8397; 294,275282
01; 256,693899; 213,873408
01; 487,946272; 407,826204
01; 278,837138; 320,142256
01; 0,0; 0,0
01; 207,744435; 236,959829
01; 237,628739; 269,361548
01; 79,624838; 78,09953
01; 16,946082; 17,920968
01; 60,0; 46,0
01; 34,165137; 33,164977
01; 20,0; 6,0
01; 61,799024; 64,651287
01; 103,898494; 137,865309
01; 146,677017; 164,716872
01; 42,034913; 41,034081
01; 38,442767; 46,754717
01; 14,313697; 8,179255
01; 3,931034; 3,931034
01; 38,942945; 41,863666
01; 23,782972; 14,635675
01; 34,56; 18,24
01; 25,096899; 23,089147
01; 4,128; 5,16
01; 17,392705; 13,300304
01; 8,957429; 18,910129
01; 83,991811; 100,18767
01; 5,0; 6,0
01; 95,521826; 82,828246
01; 169,0; 155,0
01; 192,972172; 295,639654
01; 101,918217; 98,699747
01; 76,391642; 69,441469
01; 33,887324; 34,914213
01; 2,869565; 4,782609
01; 35,527547; 12,022986
01; 0,0; 1,058824
01; 7,0; 4,0
01; 167,0; 208,0
01; 73,895849; 73,771016
01; 5,0; 6,0
01; 14,0; 14,0
01; 33,841615; 21,897516
01; 28,0; 19,0
01; 214,0; 218,0
01; 18,81791; 19,99403
01; 143,901128; 169,373145
01; 84,950436; 76,308305
01; 33,89297; 28,908709
01; 17,816659; 14,847216
01; 10,853333; 10,853333
01; 13,0; 8,0
01; 5,0; 8,0
01; 40,851425; 30,380056
01; 121,411765; 143,670588
01; 25,179019; 19,134332
01; 6,116129; 6,116129
01; 45,0; 39,0
01; 69,139055; 72,019849
01; 40,079112; 42,941906
01; 42,842257; 51,811537
01; 4,1; 12,3
01; 8,057971; 5,036232
01; 20,0; 14,0
01; 72,626168; 74,537383
01; 216,845273; 226,663279
01; 116,0; 152,0
01; 38,0; 46,0
01; 66,0; 62,0
01; 207,697801; 239,362193
01; 14,509091; 8,161364
01; 105,917236; 115,724387
01; 81,774497; 80,789262
01; 49,23494; 30,892511
01; 52,179542; 49,984776
01; 129,048422; 143,522826
01; 235,198723; 122,014069
01; 141,663408; 177,851044
01; 24,644295; 26,469799
01; 9,045918; 12,061224
01; 64,0; 63,0
01; 17,546599; 22,420655
01; 15,193133; 11,141631
01; 54,786514; 50,80204
01; 76,107118; 66,093023
01; 30,01321; 17,820343
01; 69,344785; 84,419738
01; 56,360992; 50,09866
01; 59,722983; 58,732255
01; 39,024625; 30,458244
01; 41,455571; 37,686883
01; 37,784553; 35,846883
01; 41,451162; 41,749816
01; 146,9774; 214,111488
01; 66,827068; 54,676692
01; 25,418814; 20,335051
01; 83,0; 78,0
01; 63,297125; 63,297125
01; 33,508997; 30,462725
01; 323,165181; 399,188254
01; 88,358435; 92,516479
01; 41,0; 41,0
01; 45,0; 47,0
01; 63,352081; 44,544432
01; 14,187291; 12,160535
01; 121,250173; 112,360635
01; 185,017212; 213,350068
01; 25,968153; 22,121019
01; 42,0; 53,0
01; 10,0; 9,0
01; 79,857816; 128,571706
01; 119,038112; 155,708135
01; 73,475574; 68,657908
01; 10,80904; 13,75696
01; 28,30073; 26,20438
01; 22,126679; 20,115163
01; 101,291346; 113,325962
01; 43,796515; 43,796515
01; 54,576804; 63,840949
01; 55,216232; 65,510783
01; 6,851064; 3,914894
01; 46,0; 55,0
01; 53,399096; 55,414157
01; 96,0; 73,0
01; 3,808; 6,664
01; 68,807409; 50,826604
01; 12,307692; 16,410256
01; 70,550633; 92,411392
01; 23,780488; 18,82622
01; 10,0; 1,0
01; 16,534954; 7,781155
01; 23,81749; 20,840304
01; 30,701439; 30,701439
01; 3,162162; 4,216216
01; 7,060086; 14,120172
01; 35,0; 46,0
01; 113,308429; 119,439614
01; 13,456869; 8,28115
01; 34,63103; 31,149009
01; 179,022991; 205,439608
01; 92,0; 115,0
01; 28,08046; 36,103448
01; 44,570605; 38,492795
01; 37,629862; 26,051443
01; 47,0; 44,0
01; 12,956954; 9,966887
01; 115,0; 73,0
01; 226,942141; 211,375918
01; 342,308608; 342,259836
01; 2,0; 6,0
01; 22,696667; 22,696667
01; 18,0; 26,0
01; 41,93722; 47,179372
01; 12,0; 11,0
01; 36,0; 42,0
01; 9,02719; 12,036254
01; 62,606032; 88,264241
01; 17,897921; 14,914934
01; 18,81407; 16,723618
01; 0,919192; 4,59596
01; 45,658858; 28,409956
01; 20,0; 15,0
01; 287,924477; 403,152862
