departement;Date;genre;chomage
 Ain; 2015,0; Hommes ; 7,5
 Aisne; 2015,0; Hommes ; 14,5
 Allier; 2015,0; Hommes ; 11,4
 Alpes; 2015,0; Hommes ; 12,2
 Hautes; 2015,0; Hommes ; 9,7
 Alpes; 2015,0; Hommes ; 11,4
 Ard�che; 2015,0; Hommes ; 11,0
 Ardennes; 2015,0; Hommes ; 13,1
 Ari�ge; 2015,0; Hommes ; 12,7
 Aube; 2015,0; Hommes ; 12,8
 Aude; 2015,0; Hommes ; 14,1
 Aveyron; 2015,0; Hommes ; 7,6
 Bouches; 2015,0; Hommes ; 12,7
 Calvados; 2015,0; Hommes ; 10,8
 Cantal; 2015,0; Hommes ; 6,7
 Charente; 2015,0; Hommes ; 10,4
 Charente; 2015,0; Hommes ; 11,4
 Cher; 2015,0; Hommes ; 11,2
 Corr�ze; 2015,0; Hommes ; 8,4
 C�te; 2015,0; Hommes ; 9,1
 C�tes; 2015,0; Hommes ; 9,7
 Creuse; 2015,0; Hommes ; 10,7
 Dordogne; 2015,0; Hommes ; 11,2
 Doubs; 2015,0; Hommes ; 10,0
 Dr�me; 2015,0; Hommes ; 11,3
 Eure; 2015,0; Hommes ; 10,8
 Eure; 2015,0; Hommes ; 9,9
 Finist�re; 2015,0; Hommes ; 9,7
 Gard; 2015,0; Hommes ; 14,5
 Haute; 2015,0; Hommes ; 10,6
 Gers; 2015,0; Hommes ; 8,6
 Gironde; 2015,0; Hommes ; 10,4
 H�rault; 2015,0; Hommes ; 15,4
 Ille; 2015,0; Hommes ; 8,5
 Indre; 2015,0; Hommes ; 10,2
 Indre; 2015,0; Hommes ; 9,8
 Is�re; 2015,0; Hommes ; 8,8
 Jura; 2015,0; Hommes ; 8,2
 Landes; 2015,0; Hommes ; 9,6
 Loir; 2015,0; Hommes ; 9,6
 Loire; 2015,0; Hommes ; 10,7
 Haute; 2015,0; Hommes ; 8,6
 Loire; 2015,0; Hommes ; 9,2
 Loiret; 2015,0; Hommes ; 10,5
 Lot; 2015,0; Hommes ; 9,6
 Lot; 2015,0; Hommes ; 10,6
 Loz�re; 2015,0; Hommes ; 6,9
 Maine; 2015,0; Hommes ; 9,7
 Manche; 2015,0; Hommes ; 8,6
 Marne; 2015,0; Hommes ; 10,4
 Haute; 2015,0; Hommes ; 9,8
 Mayenne; 2015,0; Hommes ; 7,3
 Meurthe; 2015,0; Hommes ; 11,1
 Meuse; 2015,0; Hommes ; 10,3
 Morbihan; 2015,0; Hommes ; 9,8
 Moselle; 2015,0; Hommes ; 11,1
 Ni�vre; 2015,0; Hommes ; 10,2
 Nord; 2015,0; Hommes ; 13,9
 Oise; 2015,0; Hommes ; 10,5
 Orne; 2015,0; Hommes ; 10,2
 Pas; 2015,0; Hommes ; 13,5
 Puy; 2015,0; Hommes ; 9,1
 Pyr�n�es; 2015,0; Hommes ; 8,8
 Hautes; 2015,0; Hommes ; 11,9
 Pyr�n�es; 2015,0; Hommes ; 16,6
 Bas; 2015,0; Hommes ; 9,5
 Haut; 2015,0; Hommes ; 10,5
 Rh�ne; 2015,0; Hommes ; 9,9
 Haute; 2015,0; Hommes ; 10,2
 Sa�ne; 2015,0; Hommes ; 9,5
 Sarthe; 2015,0; Hommes ; 10,5
 Savoie; 2015,0; Hommes ; 7,9
 Haute; 2015,0; Hommes ; 10,8
 Haute; 2015,0; Hommes ; 7,7
 Ville; 2015,0; Hommes ; 8,6
 Seine; 2015,0; Hommes ; 11,9
 Seine; 2015,0; Hommes ; 8,5
 Yvelines; 2015,0; Hommes ; 7,8
 Deux; 2015,0; Hommes ; 8,4
 Somme; 2015,0; Hommes ; 12,5
 Tarn; 2015,0; Hommes ; 11,4
 Tarn et Garonne; 2015,0; Hommes ; 11,5
 Var; 2015,0; Hommes ; 11,6
 Vaucluse; 2015,0; Hommes ; 13,1
 Vend�e; 2015,0; Hommes ; 8,5
 Vienne; 2015,0; Hommes ; 9,2
 Vosges; 2015,0; Hommes ; 12,6
 Yonne; 2015,0; Hommes ; 10,5
 Territoire de Belfort; 2015,0; Hommes ; 11,7
 Essonne; 2015,0; Hommes ; 8,2
 Hauts; 2015,0; Hommes ; 8,5
 Seine; 2015,0; Hommes ; 13,8
 Val; 2015,0; Hommes ; 9,7
 Val; 2015,0; Hommes ; 10,8
 Ain; 2014,0; Hommes ; 7,1
 Aisne; 2014,0; Hommes ; 14,2
 Allier; 2014,0; Hommes ; 10,8
 Alpes; 2014,0; Hommes ; 11,9
 Hautes; 2014,0; Hommes ; 9,4
 Alpes; 2014,0; Hommes ; 11,0
 Ard�che; 2014,0; Hommes ; 10,5
 Ardennes; 2014,0; Hommes ; 12,7
 Ari�ge; 2014,0; Hommes ; 12,3
 Aube; 2014,0; Hommes ; 12,0
 Aude; 2014,0; Hommes ; 13,9
 Aveyron; 2014,0; Hommes ; 7,3
 Bouches; 2014,0; Hommes ; 12,5
 Calvados; 2014,0; Hommes ; 10,5
 Cantal; 2014,0; Hommes ; 6,4
 Charente; 2014,0; Hommes ; 10,1
 Charente; 2014,0; Hommes ; 10,9
 Cher; 2014,0; Hommes ; 10,5
 Corr�ze; 2014,0; Hommes ; 8,0
 C�te; 2014,0; Hommes ; 8,6
 C�tes; 2014,0; Hommes ; 9,4
 Creuse; 2014,0; Hommes ; 10,1
 Dordogne; 2014,0; Hommes ; 10,8
 Doubs; 2014,0; Hommes ; 9,8
 Dr�me; 2014,0; Hommes ; 10,7
 Eure; 2014,0; Hommes ; 10,5
 Eure; 2014,0; Hommes ; 9,7
 Finist�re; 2014,0; Hommes ; 9,4
 Gard; 2014,0; Hommes ; 14,0
 Haute; 2014,0; Hommes ; 10,3
 Gers; 2014,0; Hommes ; 8,1
 Gironde; 2014,0; Hommes ; 10,0
 H�rault; 2014,0; Hommes ; 15,3
 Ille; 2014,0; Hommes ; 8,4
 Indre; 2014,0; Hommes ; 9,8
 Indre; 2014,0; Hommes ; 9,4
 Is�re; 2014,0; Hommes ; 8,3
 Jura; 2014,0; Hommes ; 7,8
 Landes; 2014,0; Hommes ; 9,3
 Loir; 2014,0; Hommes ; 9,5
 Loire; 2014,0; Hommes ; 10,2
 Haute; 2014,0; Hommes ; 8,4
 Loire; 2014,0; Hommes ; 8,9
 Loiret; 2014,0; Hommes ; 10,1
 Lot; 2014,0; Hommes ; 9,7
 Lot; 2014,0; Hommes ; 10,1
 Loz�re; 2014,0; Hommes ; 6,4
 Maine; 2014,0; Hommes ; 9,3
 Manche; 2014,0; Hommes ; 8,5
 Marne; 2014,0; Hommes ; 10,1
 Haute; 2014,0; Hommes ; 9,3
 Mayenne; 2014,0; Hommes ; 6,8
 Meurthe; 2014,0; Hommes ; 10,7
 Meuse; 2014,0; Hommes ; 10,0
 Morbihan; 2014,0; Hommes ; 9,4
 Moselle; 2014,0; Hommes ; 11,0
 Ni�vre; 2014,0; Hommes ; 9,9
 Nord; 2014,0; Hommes ; 13,7
 Oise; 2014,0; Hommes ; 10,2
 Orne; 2014,0; Hommes ; 10,0
